,AD1_AD2,AD3_AD4,AD5_AD6,Ct1_Ct2,Ct3_Ct4,Ct5_Ct6
SKI,0.052083333333333336,0.0851063829787234,0.05673758865248227,0.030120481927710843,0.07268464243845252,0.04411764705882353
MORN1,0.03125,0.029787234042553193,0.0425531914893617,0.04216867469879518,0.03634232121922626,0.03235294117647059
RER1,0.17708333333333334,0.07234042553191489,0.04964539007092199,0.04819277108433735,0.06916764361078546,0.06764705882352941
PEX10,0.020833333333333332,0.02127659574468085,0.014184397163120567,0.006024096385542169,0.031652989449003514,0.026470588235294117
PLCH2,0.0,0.00851063829787234,0.0,0.006024096385542169,0.011723329425556858,0.007352941176470588
HES5,0.0,0.00851063829787234,0.014184397163120567,0.10240963855421686,0.17936694021101993,0.1323529411764706
LINC00982,0.041666666666666664,0.0851063829787234,0.0851063829787234,0.12048192771084337,0.22860492379835873,0.19852941176470587
PRDM16,0.125,0.3829787234042553,0.36879432624113473,0.18072289156626506,0.39273153575615477,0.25735294117647056
TPRG1L,0.09375,0.02127659574468085,0.014184397163120567,0.018072289156626505,0.016412661195779603,0.010294117647058823
WRAP73,0.0,0.03404255319148936,0.0070921985815602835,0.018072289156626505,0.03399765533411489,0.033823529411764704
LRRC47,0.052083333333333336,0.03404255319148936,0.04964539007092199,0.03614457831325301,0.02813599062133646,0.029411764705882353
CEP104,0.020833333333333332,0.06808510638297872,0.0425531914893617,0.030120481927710843,0.04572098475967175,0.03529411764705882
AJAP1,0.020833333333333332,0.00851063829787234,0.0,0.0,0.004689331770222743,0.014705882352941176
NPHP4,0.010416666666666666,0.06382978723404255,0.014184397163120567,0.030120481927710843,0.05041031652989449,0.051470588235294115
KCNAB2,0.0,0.02553191489361702,0.0,0.012048192771084338,0.022274325908558032,0.01911764705882353
CHD5,0.09375,0.01276595744680851,0.03546099290780142,0.04819277108433735,0.017584994138335287,0.014705882352941176
RPL22,0.052083333333333336,0.03404255319148936,0.07801418439716312,0.06626506024096386,0.06799531066822978,0.023529411764705882
RNF207,0.0,0.00425531914893617,0.0,0.018072289156626505,0.005861664712778429,0.01911764705882353
ACOT7,0.11458333333333333,0.0425531914893617,0.0425531914893617,0.030120481927710843,0.04337631887456037,0.029411764705882353
